season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,TOD,Rush,Wind,Hum,prev_count
4,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,Night,Not Rush,Low,High,16.0
4,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,Night,Not Rush,Low,High,40.0
4,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,Night,Not Rush,Low,High,32.0
4,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,Night,Not Rush,Low,High,13.0
4,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,Night,Not Rush,Low,High,1.0
4,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,Morning,Not Rush,Low,High,1.0
4,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,Morning,Rush,Low,High,2.0
4,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,Morning,Rush,Low,High,3.0
4,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,Morning,Not Rush,Low,High,8.0
4,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,Morning,Not Rush,High,High,14.0
4,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,Morning,Not Rush,High,High,36.0
4,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,Afternoon,Not Rush,High,High,56.0
4,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,Afternoon,Not Rush,High,High,84.0
4,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,Afternoon,Not Rush,High,High,94.0
4,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,Afternoon,Not Rush,High,High,106.0
4,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,Afternoon,Not Rush,High,High,110.0
4,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,Evening,Rush,High,High,93.0
4,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,Evening,Rush,High,High,67.0
4,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,Evening,Not Rush,High,High,35.0
4,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,Evening,Not Rush,High,High,37.0
4,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,Night,Not Rush,Medium,High,36.0
4,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,Night,Not Rush,High,High,34.0
4,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,Night,Not Rush,High,High,28.0
4,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,Night,Not Rush,High,High,39.0
4,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,Night,Not Rush,High,High,17.0
4,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,Night,Not Rush,High,High,17.0
4,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,Night,Not Rush,Medium,High,9.0
4,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,Night,Not Rush,Medium,High,6.0
4,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,Morning,Not Rush,High,High,3.0
4,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,Morning,Rush,Medium,High,2.0
4,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,Morning,Rush,High,High,1.0
4,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,Morning,Not Rush,High,High,8.0
4,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,Morning,Not Rush,High,High,20.0
4,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,Morning,Not Rush,High,High,53.0
4,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,Afternoon,Not Rush,High,High,70.0
4,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,Afternoon,Not Rush,Medium,High,93.0
4,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,Afternoon,Not Rush,Medium,High,75.0
4,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,Afternoon,Not Rush,Medium,High,59.0
4,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,Afternoon,Not Rush,Medium,High,74.0
4,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,Evening,Rush,Medium,Medium,76.0
4,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,Evening,Rush,High,Medium,65.0
4,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,Evening,Not Rush,High,Medium,53.0
4,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,Evening,Not Rush,High,Medium,30.0
4,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,Night,Not Rush,High,Medium,22.0
4,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,Night,Not Rush,High,Medium,31.0
4,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,Night,Not Rush,Medium,Medium,9.0
4,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,Night,Not Rush,High,Medium,8.0
4,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,Night,Not Rush,High,Medium,5.0
4,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,Night,Not Rush,High,Medium,2.0
4,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,Night,Not Rush,High,Medium,1.0
4,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,Morning,Not Rush,High,Medium,3.0
4,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,Morning,Rush,Medium,Medium,30.0
4,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,Morning,Rush,High,Medium,64.0
4,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,Morning,Not Rush,High,Medium,154.0
4,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,Morning,Not Rush,High,Medium,88.0
4,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,Morning,Not Rush,High,Medium,44.0
4,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,Afternoon,Not Rush,High,Medium,51.0
4,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,Afternoon,Not Rush,High,Medium,61.0
4,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,Afternoon,Not Rush,High,High,61.0
4,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,Afternoon,Not Rush,High,High,77.0
4,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,Afternoon,Not Rush,High,High,72.0
4,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,Evening,Rush,High,High,76.0
4,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,Evening,Rush,Medium,Medium,157.0
4,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110,Evening,Not Rush,Low,Medium,157.0
4,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,Evening,Not Rush,Medium,Medium,110.0
4,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,Night,Not Rush,Medium,High,52.0
4,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,Night,Not Rush,Medium,High,52.0
4,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,Night,Not Rush,Medium,Medium,20.0
4,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,Night,Not Rush,Medium,Medium,12.0
4,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,Night,Not Rush,Medium,Medium,5.0
4,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,Night,Not Rush,Medium,High,2.0
4,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,Night,Not Rush,Low,High,1.0
4,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,Night,Not Rush,Medium,High,2.0
4,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,Morning,Not Rush,Medium,High,4.0
4,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,Morning,Rush,Medium,High,36.0
4,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,Morning,Rush,Medium,High,94.0
4,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,Morning,Not Rush,High,High,179.0
4,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,Morning,Not Rush,High,High,100.0
4,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,Morning,Not Rush,High,Medium,42.0
4,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,Afternoon,Not Rush,Medium,Medium,57.0
4,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,Afternoon,Not Rush,Medium,Medium,78.0
4,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,Afternoon,Not Rush,High,Medium,97.0
4,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,Afternoon,Not Rush,High,Medium,63.0
4,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,Afternoon,Not Rush,High,Medium,65.0
4,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,Evening,Rush,High,Medium,83.0
4,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,Evening,Rush,Medium,Medium,212.0
4,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,Evening,Not Rush,Medium,Medium,182.0
4,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,Evening,Not Rush,Medium,Medium,112.0
4,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,Night,Not Rush,Low,High,54.0
4,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,Night,Not Rush,Low,High,48.0
4,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,Night,Not Rush,Low,High,35.0
4,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,Night,Not Rush,Low,High,11.0
4,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,Night,Not Rush,Low,High,6.0
4,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,Night,Not Rush,Low,High,6.0
4,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,Night,Not Rush,High,Medium,2.0
4,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,Night,Not Rush,Medium,Medium,2.0
4,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,Morning,Not Rush,High,Medium,3.0
4,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,Morning,Rush,Medium,Medium,33.0
4,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,Morning,Rush,High,Medium,88.0
4,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,Morning,Not Rush,High,Medium,195.0
4,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,Morning,Not Rush,High,Medium,115.0
4,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,Morning,Not Rush,High,Medium,57.0
4,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,Afternoon,Not Rush,High,Medium,46.0
4,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,Afternoon,Not Rush,High,High,79.0
4,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,Afternoon,Not Rush,Medium,Low,71.0
4,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,Afternoon,Not Rush,Medium,Low,62.0
4,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,Afternoon,Not Rush,Low,Low,62.0
4,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,Evening,Rush,Medium,Medium,89.0
4,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,Evening,Rush,Medium,Medium,190.0
4,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,Evening,Not Rush,Medium,Medium,169.0
4,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,Evening,Not Rush,Medium,Medium,132.0
4,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,Night,Not Rush,Medium,Medium,89.0
4,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,Night,Not Rush,Medium,Medium,43.0
4,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19,Night,Not Rush,Low,Medium,42.0
4,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,Night,Not Rush,Low,Medium,19.0
4,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,Night,Not Rush,Low,High,11.0
4,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,Night,Not Rush,Low,High,4.0
